exp_id,timestamp,bw,delay,loss,iw,rtt,throughput,reward
1,2025-07-31T11:45:41.252549,3,10,0,4,12.153,1.74,0.4825448261933081
2,2025-07-31T11:45:41.252595,3,10,0,6,10.098,2.63,0.6781818181818181
3,2025-07-31T11:45:41.252604,3,10,0,8,10.141,3.41,0.8191519574006509
4,2025-07-31T11:45:41.252610,3,10,0,10,10.139,4.4,0.9991912417398165
5,2025-07-31T11:45:58.584570,3,10,1,4,12.209,1.75,0.4851937711285469
6,2025-07-31T11:45:58.584636,3,10,1,6,10.173,2.54,0.662437642005156
7,2025-07-31T11:45:58.584677,3,10,1,8,10.151,3.09,0.7630979498861048
8,2025-07-31T11:45:58.584699,3,10,1,10,10.188,4.39,0.9992736552807224
9,2025-07-31T11:46:17.947275,3,10,5,4,12.681,1.76,0.4829073908881958
10,2025-07-31T11:46:17.947345,3,10,5,6,10.154,2.51,0.6603337953317081
11,2025-07-31T11:46:17.947388,3,10,5,8,10.164,3.2,0.7867427401622564
12,2025-07-31T11:46:17.947404,3,10,5,10,10.143,4.36,1.0
13,2025-07-31T11:46:36.525031,3,30,0,4,36.245,999.0,0.9663457028555663
14,2025-07-31T11:46:36.525091,3,30,0,6,30.199,66.9,0.25322256857340797
15,2025-07-31T11:46:36.525132,3,30,0,8,30.146,1.88,0.20150550550550547
16,2025-07-31T11:46:36.525152,3,30,0,10,30.229,1.85,0.2009323399286679
17,2025-07-31T11:46:54.088232,3,30,1,4,36.183,980.0,0.9669955503965951
18,2025-07-31T11:46:54.088351,3,30,1,6,30.212,1.5,0.2012244897959183
19,2025-07-31T11:46:54.088418,3,30,1,8,30.297,1.97,0.2010470516040855
20,2025-07-31T11:46:54.088446,3,30,1,10,30.272,1.82,0.20108930836605252
21,2025-07-31T11:47:13.659759,3,30,5,4,36.308,979.0,0.9661341853035144
22,2025-07-31T11:47:13.659820,3,30,5,6,30.221,1.5,0.20082204775518336
23,2025-07-31T11:47:13.659858,3,30,5,8,30.63,1.85,0.19844285996791247
24,2025-07-31T11:47:13.659878,3,30,5,10,30.16,1.82,0.2014872318692543
25,2025-07-31T11:47:33.178509,3,100,0,4,120.305,41.8,0.2094718606468721
26,2025-07-31T11:47:33.178599,3,100,0,6,100.211,598.0,0.8140607938559011
27,2025-07-31T11:47:33.178650,3,100,0,8,100.201,779.0,0.9999600802387202
28,2025-07-31T11:47:33.178670,3,100,0,10,100.181,545.0,0.7596919127086008
29,2025-07-31T11:47:51.691191,3,100,1,4,120.261,398.0,0.5679828361543992
30,2025-07-31T11:47:51.691244,3,100,1,6,100.23,601.0,0.806043771456797
31,2025-07-31T11:47:51.691269,3,100,1,8,100.099,793.0,1.0
32,2025-07-31T11:47:51.691292,3,100,1,10,100.141,547.0,0.7517446176427176
33,2025-07-31T11:48:12.132706,3,100,5,4,120.243,397.0,0.5645344118010652
34,2025-07-31T11:48:12.132819,3,100,5,6,100.206,595.0,0.7963315569925952
35,2025-07-31T11:48:12.132880,3,100,5,8,100.183,798.0,0.9998862082389228
36,2025-07-31T11:48:12.132903,3,100,5,10,100.126,546.0,0.7473684210526316
37,2025-07-31T11:48:29.457950,6,10,0,4,12.214,1.74,0.4879427726710461
38,2025-07-31T11:48:29.458107,6,10,0,6,10.2,2.61,0.6815504234026173
39,2025-07-31T11:48:29.458207,6,10,0,8,10.166,3.41,0.8300230946882217
40,2025-07-31T11:48:29.458309,6,10,0,10,10.173,4.33,0.9998623808119532
41,2025-07-31T11:48:46.789126,6,10,1,4,12.205,1.77,0.4904076762042928
42,2025-07-31T11:48:46.789169,6,10,1,6,10.108,2.62,0.6807339449541283
43,2025-07-31T11:48:46.789195,6,10,1,8,10.221,3.38,0.8179723522986044
44,2025-07-31T11:48:46.789218,6,10,1,10,10.182,4.36,0.9985464545275977
45,2025-07-31T11:49:04.098247,6,10,5,4,12.215,1.75,0.4877976018356134
46,2025-07-31T11:49:04.098281,6,10,5,6,10.231,2.59,0.6742519362362454
47,2025-07-31T11:49:04.098301,6,10,5,8,10.181,3.26,0.7981651376146788
48,2025-07-31T11:49:04.098312,6,10,5,10,10.186,4.36,0.9999018260357353
49,2025-07-31T11:49:21.645066,6,30,0,4,36.199,998.0,0.9667062626039393
50,2025-07-31T11:49:21.645114,6,30,0,6,30.185,1.51,0.20113091115143983
51,2025-07-31T11:49:21.645141,6,30,0,8,30.173,1.97,0.20157915831663323
52,2025-07-31T11:49:21.645167,6,30,0,10,30.199,1.85,0.20131077479970697
53,2025-07-31T11:49:40.230258,6,30,1,4,36.266,975.0,0.9662990128495009
54,2025-07-31T11:49:40.230300,6,30,1,6,30.155,1.49,0.20122256410256406
55,2025-07-31T11:49:40.230318,6,30,1,8,30.224,1.86,0.20106956305737667
56,2025-07-31T11:49:40.230339,6,30,1,10,30.264,1.86,0.20080582606397035
57,2025-07-31T11:49:59.824872,6,30,5,4,36.252,970.0,0.9662253117069403
58,2025-07-31T11:49:59.824954,6,30,5,6,30.149,1.5,0.20111107273736314
59,2025-07-31T11:49:59.824984,6,30,5,8,30.175,1.87,0.20124400789210697
60,2025-07-31T11:49:59.825044,6,30,5,10,30.13,1.21,0.20099793814432984
61,2025-07-31T11:50:18.364730,6,100,0,4,120.291,392.0,0.5599318766170205
62,2025-07-31T11:50:18.364793,6,100,0,6,100.234,591.0,0.7929891431716033
63,2025-07-31T11:50:18.364826,6,100,0,8,100.116,797.0,1.0
64,2025-07-31T11:50:18.364838,6,100,0,10,100.222,546.0,0.7478436766238423
65,2025-07-31T11:50:36.998785,6,100,1,4,120.35,394.0,0.6953700699581478
66,2025-07-31T11:50:36.998852,6,100,1,6,100.198,596.0,1.0
67,2025-07-31T11:50:36.998901,6,100,1,8,100.274,437.0,0.7864255965500166
68,2025-07-31T11:50:36.998938,6,100,1,10,100.218,544.0,0.9301614292921967
69,2025-07-31T11:50:56.756120,6,100,5,4,120.225,396.0,0.5727631204312427
70,2025-07-31T11:50:56.756190,6,100,5,6,100.153,204.0,0.4092307692307692
71,2025-07-31T11:50:56.756233,6,100,5,8,100.166,780.0,0.9999740430884732
72,2025-07-31T11:50:56.756256,6,100,5,10,100.252,96.2,0.2984691643724481
73,2025-07-31T11:51:14.094455,9,10,0,4,12.246,1.71,0.48157309414131166
74,2025-07-31T11:51:14.094576,9,10,0,6,10.158,2.62,0.6837496424847684
75,2025-07-31T11:51:14.094619,9,10,0,8,10.165,3.39,0.825875411370584
